order_id,date_raw,city_raw,amount_raw,qty,payment_raw
SO2026395,06/04/2026,SHENZHEN ,0.7 thousand CNY,2.0,-
SO2026396,2026-01-04,Guangzhou City,¥992.19,1.0,-
SO2026397,2026-03-08,shenzhen,¥261.14,11.0,unpaid
SO2026398,2026-03-18, Shenzhen, 698.41 ,,Not Applicable
SO2026399,20260203,Guangzhou,¥220.42,,paid
SO2026400,20260103,Shenzhen, 720.10 ,4.0,N/A
SO2026401,22/02/2026,shenzhen,1087.44 RMB,7.0,N/A
SO2026402,20260131,Guangzhou,¥421.93,3.0,Not Applicable
SO2026403,20260429,Guang Zhou, 464.83 ,,Not Applicable
SO2026404,20260212, Shenzhen,1068.57 RMB,3.0,N/A
SO2026405,2026-01-27,shenzhen,0.2 thousand CNY,4.0,Not Applicable
SO2026406,20260131,Guangzhou City,437.77 RMB,2.0,N/A
SO2026407,20260204,Guangzhou,"¥1,420.18",8.0,N/A
SO2026408,27/02/2026,SHENZHEN ,0.9 thousand CNY,10.0,Paid
SO2026409,06/01/2026,Guang Zhou,¥193.22,9.0,N/A
SO2026410,03/03/2026,Guang Zhou,¥345.36,1.0,paid
SO2026411,2026-02-20,Guangzhou,2425.43 RMB,4.0,Not Applicable
SO2026412,21/04/2026,Guangzhou City,¥541.86,7.0,Not Applicable
SO2026413,31/01/2026,shenzhen, 316.56 ,4.0,N/A
SO2026414,2026-02-18, Shenzhen," 1,005.55 ",11.0,Not Applicable
SO2026415,02/03/2026,shenzhen,¥596.08,5.0,unpaid
SO2026416,2026-01-08,SHENZHEN ,1961.16 RMB,9.0,Not Applicable
SO2026417,20260208,shenzhen,1456.68 RMB,2.0,Paid
SO2026418,18/02/2026, Shenzhen, 908.86 ,3.0,PAID
SO2026419,20260401,Guang Zhou,¥632.23,7.0,PAID
SO2026420,07/04/2026, Shenzhen,324.90 RMB,7.0,Not Applicable
SO2026421,08/02/2026, Shenzhen,0.2 thousand CNY,8.0,-
SO2026422,2026-01-06, Shenzhen,¥360.57,9.0,-
SO2026423,2026-01-08,Guangzhou, 153.91 ,7.0,Paid
SO2026424,2026-02-21,SHENZHEN , 227.42 ,8.0,PAID
SO2026425,14/02/2026,Shenzhen, 802.33 ,8.0,-
SO2026426,15/04/2026, Shenzhen,0.4 thousand CNY,4.0,unpaid
SO2026427,20260112, Shenzhen,¥696.05,7.0,Paid
SO2026428,08/01/2026,shenzhen,542.78 RMB,6.0,Not Applicable
SO2026429,20260123,Shenzhen,397.26 RMB,10.0,Paid
SO2026430,2026-01-09,Guang Zhou,175.52 RMB,3.0,paid
SO2026431,23/03/2026,Guangzhou,"¥1,311.18",2.0,paid
SO2026432,19/02/2026,Guangzhou City,331.38 RMB,6.0,paid
SO2026433,04/03/2026,Guang Zhou,¥335.08,4.0,-
SO2026434,20260331,SHENZHEN ,0.3 thousand CNY,2.0,Paid
SO2026435,20260218,SHENZHEN , 252.49 ,2.0,-
SO2026436,09/02/2026, Shenzhen,¥621.81,2.0,Not Applicable
SO2026437,20260325,Guangzhou City,65.92 RMB,9.0,Paid
SO2026438,2026-04-30,shenzhen,442.40 RMB,11.0,N/A
SO2026439,2026-03-22, Shenzhen,0.4 thousand CNY,3.0,N/A
SO2026440,20260225, Shenzhen,509.81 RMB,3.0,Not Applicable
SO2026441,13/01/2026,Guang Zhou,1320.18 RMB,2.0,Paid
SO2026442,29/01/2026,Shenzhen,0.4 thousand CNY,10.0,Paid
SO2026443,19/03/2026,shenzhen,1.6 thousand CNY,,-
SO2026444,17/02/2026,Guangzhou,117.94 RMB,11.0,paid
SO2026445,20260108,shenzhen,¥432.50,5.0,-
SO2026446,18/02/2026,Guangzhou,0.6 thousand CNY,8.0,PAID
SO2026447,20260407,Shenzhen, 544.14 ,,unpaid
SO2026448,20/04/2026,Guangzhou,¥949.90,5.0,PAID
SO2026449,2026-03-27,Guangzhou, 692.40 ,3.0,Paid
SO2026450,2026-04-30,Shenzhen,0.9 thousand CNY,11.0,Paid
SO2026451,2026-02-10,Guang Zhou,0.2 thousand CNY,4.0,N/A
SO2026452,2026-01-04,shenzhen,236.52 RMB,11.0,N/A
SO2026453,2026-04-05,Guangzhou,0.3 thousand CNY,10.0,N/A
SO2026454,04/02/2026,Guang Zhou,3.8 thousand CNY,8.0,Paid
SO2026455,2026-01-30, Shenzhen,214.86 RMB,1.0,-
SO2026456,14/04/2026, Shenzhen," 2,019.41 ",,-
SO2026457,20260324, Shenzhen,0.3 thousand CNY,5.0,PAID
SO2026458,2026-03-11,Guang Zhou,"¥3,099.62",3.0,N/A
SO2026459,27/02/2026,Guangzhou City,628.54 RMB,11.0,-
SO2026460,08/04/2026, Shenzhen, 983.04 ,9.0,N/A
SO2026461,2026-02-18,shenzhen, 234.49 ,9.0,N/A
SO2026462,29/01/2026,SHENZHEN ," 1,712.26 ",8.0,paid
SO2026463,2026-01-05,SHENZHEN ,456.52 RMB,9.0,N/A
SO2026464,20260106,Shenzhen,¥807.58,,unpaid
SO2026465,2026-03-23, Shenzhen,¥537.88,6.0,PAID
SO2026466,2026-01-30, Shenzhen,¥971.17,6.0,-
SO2026466,2026-03-09,Guangzhou City,0.8 thousand CNY,1.0,-
SO2026468,2026-03-06,SHENZHEN ,0.1 thousand CNY,4.0,Paid
SO2026469,03/01/2026,Guangzhou,0.4 thousand CNY,11.0,unpaid
SO2026470,2026-03-18,SHENZHEN ,0.3 thousand CNY,,Not Applicable
SO2026471,20260428,Guang Zhou,1.0 thousand CNY,7.0,N/A
SO2026472,13/04/2026,Shenzhen,¥520.94,10.0,PAID
SO2026473,2026-01-11,SHENZHEN ," 1,106.95 ",11.0,-
SO2026474,30/04/2026,Shenzhen, 375.54 ,7.0,paid
SO2026475,20260325,SHENZHEN ,1.0 thousand CNY,2.0,unpaid
SO2026476,2026-01-01,Guang Zhou, 104.30 ,,Paid
SO2026477,06/04/2026,Guang Zhou,0.3 thousand CNY,5.0,Paid
SO2026478,20260317,SHENZHEN , 808.84 ,4.0,unpaid
SO2026479,20260226,shenzhen," 1,051.08 ",8.0,Paid
SO2026480,2026-02-15,Shenzhen,0.6 thousand CNY,6.0,-
SO2026481,20260406,Shenzhen,128.71 RMB,7.0,PAID
SO2026482,20260131,SHENZHEN ,¥497.26,7.0,PAID
SO2026483,2026-01-09,Guangzhou,0.7 thousand CNY,7.0,unpaid
SO2026484,30/03/2026,SHENZHEN ,459.15 RMB,8.0,unpaid
SO2026485,2026-03-21,Guang Zhou,522.58 RMB,11.0,PAID
SO2026486,20260423,Guangzhou, 418.90 ,8.0,Not Applicable
SO2026487,12/01/2026, Shenzhen,246.43 RMB,1.0,-
SO2026488,20260222,Guangzhou City,¥478.50,1.0,unpaid
SO2026489,20260113,shenzhen,0.1 thousand CNY,2.0,N/A
SO2026490,23/03/2026,shenzhen,"¥1,723.93",11.0,-
SO2026491,20260208,Guangzhou, 539.23 ,,Paid
SO2026492,2026-03-29,Guang Zhou,¥600.22,9.0,Not Applicable
SO2026493,2026-01-10,shenzhen," 1,010.96 ",11.0,Not Applicable
SO2026494,2026-03-13,Guangzhou,447.99 RMB,6.0,N/A
SO2026495,28/02/2026, Shenzhen,0.2 thousand CNY,8.0,N/A
SO2026496,2026-04-21,shenzhen,¥361.59,11.0,Not Applicable
SO2026497,09/04/2026,Guang Zhou, 227.22 ,11.0,Not Applicable
SO2026498,2026-02-17,SHENZHEN , 618.25 ,9.0,Not Applicable
SO2026499,22/04/2026,SHENZHEN ,0.2 thousand CNY,5.0,PAID
SO2026500,20260424,Guang Zhou,0.6 thousand CNY,1.0,PAID
SO2026501,2026-03-01,Shenzhen,0.9 thousand CNY,6.0,Paid
SO2026502,2026-02-16,Guangzhou,"¥2,397.46",4.0,Not Applicable
SO2026503,2026-01-12,Guangzhou City," 1,851.25 ",10.0,unpaid
SO2026504,20260317,SHENZHEN ,2.6 thousand CNY,,Not Applicable
SO2026505,06/04/2026,SHENZHEN , 761.84 ,4.0,PAID
SO2026506,11/02/2026, Shenzhen,0.5 thousand CNY,2.0,-
SO2026506,20260208,Guangzhou,¥897.18,1.0,-
SO2026506,20260223,SHENZHEN , 330.77 ,5.0,Not Applicable
SO2026509,22/01/2026,Guang Zhou, 366.48 ,6.0,-
SO2026510,20260429,Guang Zhou, 737.96 ,9.0,Paid
SO2026511,2026-03-24,Guang Zhou, 391.15 ,7.0,Paid
SO2026512,24/01/2026,SHENZHEN ,0.5 thousand CNY,2.0,unpaid
SO2026513,20260319,Guangzhou,1.8 thousand CNY,9.0,unpaid
SO2026514,2026-03-23,Shenzhen,0.1 thousand CNY,2.0,unpaid
SO2026515,04/03/2026,SHENZHEN ,0.7 thousand CNY,7.0,PAID
SO2026516,10/04/2026,shenzhen,1.0 thousand CNY,2.0,unpaid
SO2026516,20260322,Guang Zhou,¥718.42,10.0,Paid
SO2026518,27/03/2026,Shenzhen,507.31 RMB,3.0,Paid
SO2026519,2026-03-30,Guangzhou,538.78 RMB,9.0,Paid
SO2026519,2026-04-05,Guangzhou,1470.93 RMB,4.0,PAID
SO2026521,2026-01-18, Shenzhen, 314.29 ,6.0,Paid
SO2026522,01/03/2026,Guang Zhou,548.36 RMB,1.0,-
SO2026523,2026-04-06,shenzhen, 322.64 ,7.0,-
SO2026524,20260404, Shenzhen,0.8 thousand CNY,3.0,-
SO2026525,20260103,SHENZHEN , 362.19 ,7.0,Paid
SO2026526,2026-02-26,SHENZHEN ,1.1 thousand CNY,1.0,Not Applicable
SO2026527,20260412,shenzhen,517.83 RMB,7.0,-
SO2026528,20260401,shenzhen,472.64 RMB,,Not Applicable
SO2026529,20260127,Guang Zhou,0.3 thousand CNY,4.0,paid
SO2026529,2026-04-06,Guang Zhou,0.7 thousand CNY,6.0,unpaid
SO2026531,20260404,Guang Zhou,165.74 RMB,9.0,PAID
SO2026532,2026-03-02,Guang Zhou,¥461.43,,-
SO2026533,2026-03-15,Guangzhou,353.57 RMB,10.0,N/A
SO2026534,20260407,SHENZHEN , 828.71 ,3.0,N/A
SO2026535,2026-04-22,SHENZHEN ,¥224.41,8.0,Paid
SO2026536,20260205,Guangzhou,0.4 thousand CNY,7.0,PAID
SO2026537,15/04/2026,Guangzhou City,221.07 RMB,10.0,N/A
SO2026538,2026-03-07,Guangzhou City, 414.47 ,6.0,paid
SO2026539,2026-01-21,Shenzhen, 337.08 ,8.0,unpaid
SO2026540,20260215,shenzhen,¥763.15,6.0,-
SO2026541,15/04/2026,shenzhen, 472.52 ,3.0,N/A
SO2026542,02/02/2026,shenzhen, 934.16 ,,paid
SO2026543,22/03/2026,SHENZHEN ,115.66 RMB,2.0,PAID
SO2026544,2026-04-25,Guangzhou City,0.3 thousand CNY,10.0,Not Applicable
SO2026545,20260415,Guangzhou, 271.67 ,11.0,unpaid
SO2026546,20260404,Guangzhou City, 356.72 ,,PAID
SO2026547,20260302, Shenzhen,"¥1,051.54",2.0,PAID
SO2026548,30/03/2026,Guangzhou City,1960.90 RMB,6.0,Paid
SO2026549,20260124,Shenzhen,¥287.30,9.0,paid
SO2026550,2026-01-08,Shenzhen,¥271.61,1.0,unpaid
SO2026551,20260328, Shenzhen,386.27 RMB,10.0,paid
SO2026551,20260121,shenzhen,0.5 thousand CNY,10.0,PAID
SO2026553,05/02/2026,shenzhen,0.5 thousand CNY,10.0,unpaid
SO2026554,20260304,Guangzhou City,¥521.37,8.0,Not Applicable
SO2026555,03/02/2026,SHENZHEN ,¥576.74,6.0,N/A
SO2026556,20260222,shenzhen,247.17 RMB,2.0,Paid
SO2026557,20260304,SHENZHEN ,¥254.44,6.0,Paid
SO2026558,2026-04-03,Guangzhou City,¥220.25,11.0,unpaid
SO2026559,2026-04-11,Guangzhou City,¥337.16,11.0,PAID
SO2026560,20260120,Shenzhen, 631.39 ,10.0,N/A
SO2026561,2026-02-09, Shenzhen,"¥1,192.95",11.0,-
SO2026562,20260223,shenzhen,0.3 thousand CNY,,unpaid
SO2026563,20260218,Guangzhou,0.5 thousand CNY,8.0,N/A
SO2026564,20260403,Guang Zhou,¥270.99,2.0,PAID
SO2026565,2026-01-06,shenzhen,138.43 RMB,11.0,Paid
SO2026566,2026-04-03,Guang Zhou,¥336.68,3.0,-
SO2026567,29/04/2026,Guangzhou City,0.6 thousand CNY,5.0,-
SO2026568,2026-04-30,Guangzhou City, 536.49 ,6.0,Paid
SO2026569,20260311,Guang Zhou,¥458.09,8.0,unpaid
SO2026570,2026-04-24,Shenzhen,1.1 thousand CNY,10.0,N/A
SO2026571,25/02/2026,Guangzhou,0.5 thousand CNY,9.0,-
SO2026572,09/04/2026,Shenzhen,¥478.02,3.0,Not Applicable
SO2026573,2026-03-20,SHENZHEN , 501.45 ,,Not Applicable
SO2026574,20260414,Guang Zhou,394.84 RMB,6.0,paid
SO2026575,20260112,Guang Zhou,¥357.46,6.0,PAID
SO2026576,12/04/2026,Shenzhen,¥588.11,5.0,unpaid
SO2026577,24/03/2026,Shenzhen, 180.21 ,4.0,unpaid
SO2026578,04/03/2026,Shenzhen,0.2 thousand CNY,,PAID
SO2026579,24/01/2026,Shenzhen, 368.93 ,9.0,N/A
SO2026580,23/04/2026,SHENZHEN ,0.8 thousand CNY,11.0,PAID
SO2026581,2026-01-22,shenzhen,¥297.30,4.0,Paid
SO2026582,20260409,shenzhen,0.4 thousand CNY,6.0,PAID
SO2026582,20260329,Shenzhen," 1,223.51 ",5.0,Paid
SO2026584,2026-01-04,shenzhen,0.5 thousand CNY,6.0,N/A
SO2026585,10/01/2026,Shenzhen,1.0 thousand CNY,6.0,unpaid
SO2026586,20260117,Shenzhen,294.78 RMB,,Paid
SO2026587,20260127,SHENZHEN ,¥830.18,,Paid
SO2026588,20260116,SHENZHEN ,0.3 thousand CNY,4.0,Paid
SO2026589,2026-01-26,shenzhen, 212.44 ,1.0,-
SO2026590,03/03/2026,Guang Zhou,"¥2,582.68",9.0,Not Applicable
SO2026591,2026-01-26,Shenzhen,"¥1,114.86",,Not Applicable
SO2026592,20260423,Guangzhou City,0.8 thousand CNY,2.0,N/A
SO2026593,30/01/2026,Guangzhou City," 1,841.61 ",4.0,PAID
SO2026594,2026-02-24,Guangzhou City, 257.47 ,8.0,unpaid
SO2026595,15/01/2026,Shenzhen,365.94 RMB,,PAID
SO2026596,20260109,shenzhen,106.68 RMB,3.0,Not Applicable
SO2026597,20260112,Guangzhou, 523.48 ,4.0,Paid
SO2026598,25/01/2026,Guangzhou City, 658.39 ,11.0,Not Applicable
SO2026599,16/01/2026,Guang Zhou, 207.37 ,1.0,N/A
SO2026600,20260109, Shenzhen, 129.31 ,3.0,Not Applicable
